#{"t_start": 1771225423.6887798, "env_id": "None"}
r,l,t
-399.34995,285,18.400352
-383.56598,321,20.919249
-374.14948,330,21.56053
-384.60965,331,21.775283
-400.89044,389,25.307885
-400.75977,426,27.898459
-402.43967,444,29.396213
-401.18088,468,31.408207
-382.54974,243,40.221405
-383.02472,313,42.463305
-384.7195,333,46.552984
-401.1104,361,48.948856
-395.39005,264,49.973568
-402.1398,364,52.68066
-368.9633,352,54.363844
-394.33487,251,57.574163
-385.46902,450,65.292659
-398.84998,235,71.134
-400.09003,309,73.479917
-397.44977,349,75.323604
-387.12534,580,85.594756
-402.90143,640,85.804315
-400.74106,424,86.224654
-400.83997,384,88.503714
-402.8004,630,95.010205
-396.15952,411,96.516998
-385.32693,469,98.660067
-369.76315,477,102.544057
-399.42014,292,104.113865
-399.83005,333,110.174099
-400.91986,442,113.450273
-402.49982,550,119.78493
-399.98007,298,121.209651
-395.86023,431,123.82813
-369.9094,401,129.665356
-388.72397,539,130.159826
-402.2219,572,135.720333
-384.76376,409,136.740392
-400.27994,378,144.436583
-367.9945,324,147.958543
-394.46487,314,152.226788
-399.97998,348,159.151036
-369.5682,336,165.36247
-385.20963,387,168.030566
-385.47574,315,168.639692
-401.5399,504,170.308765
-401.40036,440,173.172615
-372.76413,692,173.930116
-385.332,447,182.647841
-384.10733,247,183.194509
-349.2871,307,188.69168
-385.8406,449,189.54993
-370.47034,434,196.631642
-385.53967,374,197.763645
-400.97028,447,203.574856
-384.9947,348,205.084442
-401.92197,542,206.336073
-384.47968,314,210.430337
-401.44116,494,214.66801
-401.48077,498,223.153683
-384.73965,297,226.510113
-369.49567,321,226.842912
-371.98947,405,227.001898
-365.01654,290,227.507858
-399.15018,265,229.584571
-388.07956,538,234.913724
-385.43976,294,244.11834
-368.2851,456,248.456994
-400.88983,289,248.701028
-385.98462,426,256.476001
-401.80072,530,263.348724
-402.0516,555,265.124806
-384.70477,310,268.563368
-385.7096,366,268.714702
-402.4301,593,270.926865
-356.09418,531,272.328217
-390.1196,374,274.144796
-368.57227,269,275.902802
-399.4099,241,292.7063
-386.22574,371,297.596139
-370.4753,397,297.805097
-384.13226,315,300.256794
-367.90933,327,303.71186
-395.32733,389,306.612479
-338.5591,466,307.400293
-401.70105,520,312.459585
-354.81506,400,318.684013
-400.52982,353,321.155544
-400.01962,352,321.317521
-339.6788,339,325.942297
-354.3102,316,327.992206
-370.20337,389,332.230987
-384.88986,274,337.226134
-385.97763,579,338.94959
-400.2401,374,346.467211
-399.63986,314,347.771827
-356.44946,529,348.668186
-356.0914,456,352.736553
-339.9145,292,358.609432
-401.98975,499,362.851069
-354.89026,476,365.329041
-384.82578,341,369.876725
-401.27026,427,377.178729
-403.64978,565,378.002701
-370.76666,430,378.350189
-395.13495,381,378.680427
-399.69006,319,379.838627
-385.24963,360,387.926481
-369.37463,335,388.969313
-401.36032,386,396.680805
-400.31976,332,400.316942
-396.37503,387,402.994717
-355.2491,378,404.540355
-401.4102,491,410.586669
-400.94135,444,416.871144
-400.48087,398,420.989011
-400.4506,395,424.496053
-401.01053,401,431.092386
-370.16516,406,432.543682
-386.23486,383,437.036203
-352.5695,300,443.565454
-323.52283,407,445.34564
-383.0398,328,448.914959
-351.86795,287,456.969395
-400.77014,427,461.324425
-359.3952,345,466.151758
-385.67157,549,466.876836
-369.83463,326,470.470486
-323.95288,417,473.188124
-384.39978,236,476.88641
-389.29987,315,477.59936
-368.1421,285,492.603636
-400.07053,357,495.228603
-371.1395,433,496.011869
-370.36472,331,499.732548
-400.00018,350,500.190293
-342.63596,700,512.051704
-400.10986,311,514.004046
-401.3803,438,518.602155
-401.18054,468,522.10123
-339.44678,444,525.283269
-401.80084,530,531.632743
-339.3414,411,537.055753
-400.98984,399,538.233989
-384.1498,280,543.073018
-324.37317,366,545.314279
-399.46017,296,549.806108
-401.65112,515,550.59664
-400.7806,428,571.797526
-400.87003,287,574.56093
-400.5907,409,574.688445
-370.7436,384,575.28039
-324.1843,339,576.645362
-403.33014,683,584.509979
-369.8546,290,593.003437
-347.07495,437,598.062251
-340.7667,413,600.262407
-354.88623,417,603.217074
-401.45102,495,605.238548
-401.10046,460,618.118126
-384.8497,360,619.660142
-311.007,718,627.712314
-339.80923,463,629.695616
-386.9553,544,629.952973
-355.78403,442,631.762708
-384.38193,434,646.375997
-400.32062,332,648.847399
-354.96527,326,649.887066
-391.72382,563,654.734487
-372.1094,450,657.375467
-399.99005,349,667.725076
-364.53442,322,668.688254
-404.47144,797,678.474738
-342.22363,509,678.968817
-374.65475,403,680.306652
3433.444,4828,687.166316
-400.72998,373,688.29321
-402.3403,584,695.811231
-400.30002,380,696.537798
-399.87976,288,705.551808
-399.67014,317,714.078269
-400.17026,367,716.100083
-402.7103,621,721.432134
-353.83173,456,722.309577
-402.95068,645,723.142052
-402.53082,603,730.72308
-402.02985,553,736.371512
-401.14108,464,740.440553
-400.1,360,744.760953
-401.5512,505,750.753697
-311.12625,621,751.27178
-364.42468,307,753.903914
-385.11176,411,754.427682
-403.5706,707,764.270147
-355.21567,450,767.411261
-400.06995,357,773.402411
-400.32016,382,774.602693
-370.07675,402,779.18155
-402.33078,583,779.755294
-386.3724,486,784.278591
-368.83475,257,789.842726
-400.79053,429,791.592794
-399.70975,321,795.189328
-401.4709,497,799.476201
-384.21475,274,802.789445
-372.22482,358,803.836121
-385.16965,401,815.907381
-331.2068,331,816.698436
-348.79947,432,819.553584
