grid_id,row_index,col_index,lon,lat,is_tree,elevation,slope,aspect,tree_type
0,0,0,925388.0961,1940876.538,0,17.444912,2.1453383,59.501556,0
1,0,1,925408.0961,1940876.538,0,16.799356,2.0506113,55.423157,0
2,0,2,925428.0961,1940876.538,0,16.26568,1.3806795,28.263031,0
3,0,3,925448.0961,1940876.538,0,16.342844,1.1645154,349.05878,0
4,0,4,925468.0961,1940876.538,0,16.420008,1.0931442,348.3345,0
5,0,5,925488.0961,1940876.538,0,16.497171,1.0219691,347.50906,0
6,0,6,925508.0961,1940876.538,0,16.574337,1.0315382,333.72632,0
7,0,7,925528.0961,1940876.538,0,16.815987,1.2404503,318.8441,0
8,0,8,925548.0961,1940876.538,0,17.144348,1.3626987,316.35556,0
9,0,9,925568.0961,1940876.538,0,17.47271,1.4009007,317.82843,0
10,0,10,925588.0961,1940876.538,0,17.801071,1.5374116,315.17282,0
11,0,11,925608.0961,1940876.538,0,18.229548,2.3191807,299.95718,0
12,0,12,925628.0961,1940876.538,0,19.204618,3.0838382,295.18555,0
13,0,13,925648.0961,1940876.538,0,20.179688,3.1526575,297.731,0
14,0,14,925668.0961,1940876.538,0,21.154758,3.2274017,300.16275,0
15,0,15,925688.0961,1940876.538,0,22.12983,3.52635,300.24054,0
16,0,16,925708.0961,1940876.538,0,23.284292,3.9909477,300.54324,0
17,0,17,925728.0961,1940876.538,0,24.533327,4.265606,303.14352,0
18,0,18,925748.0961,1940876.538,0,25.782362,4.438724,306.4357,0
19,0,19,925768.0961,1940876.538,0,27.031397,4.524538,310.53345,0
20,0,20,925788.0961,1940876.538,0,28.18808,4.228111,322.28122,0
21,0,21,925808.0961,1940876.538,0,28.84054,4.673768,336.48193,0
22,0,22,925828.0961,1940876.538,0,29.493,5.5455604,340.36652,0
23,0,23,925848.0961,1940876.538,0,30.14546,6.433113,343.1821,0
24,0,24,925868.0961,1940876.538,0,30.79792,7.2348075,348.53696,0
25,0,25,925888.0961,1940876.538,0,31.154613,7.6751447,354.0641,0
26,0,26,925908.0961,1940876.538,0,31.355389,7.9927673,355.90018,0
27,0,27,925928.0961,1940876.538,0,31.556162,8.329452,356.0684,0
28,0,28,925948.0961,1940876.538,0,31.756935,8.649121,358.74802,0
29,0,29,925968.0961,1940876.538,0,31.689104,9.240294,14.253204,0
30,0,30,925988.0961,1940876.538,0,30.15475,10.114228,25.472107,0
31,0,31,926008.0961,1940876.538,0,28.620398,10.283147,25.015076,0
32,0,32,926028.0961,1940876.538,0,27.086044,10.452505,24.573181,0
33,0,33,926048.0961,1940876.538,0,25.551691,10.112301,16.347565,0
34,0,34,926068.0961,1940876.538,0,25.0781,10.080081,3.127716,0
35,0,35,926088.0961,1940876.538,0,25.163717,10.508907,358.67767,0
36,0,36,926108.0961,1940876.538,0,25.249332,10.948336,358.732,0
37,0,37,926128.0961,1940876.538,0,25.334948,11.388566,358.35007,0
38,0,38,926148.0961,1940876.538,0,25.481318,11.719799,355.6843,0
39,0,39,926168.0961,1940876.538,0,25.959389,11.34019,353.1546,0
40,0,40,926188.0961,1940876.538,0,26.437462,10.916261,352.88043,0
41,0,41,926208.0961,1940876.538,0,26.915533,10.491383,352.58353,0
42,0,42,926228.0961,1940876.538,1,27.393606,9.979446,1.5637512,4
43,0,43,926248.0961,1940876.538,0,26.723463,10.215481,15.658936,0
44,0,44,926268.0961,1940876.538,1,25.448013,10.497686,20.130707,4
45,0,45,926288.0961,1940876.538,1,24.172564,10.521526,20.082062,4
46,0,46,926308.0961,1940876.538,1,22.897114,10.48808,19.13623,4
